sku,period,model,actual,pred,abs_err,signed_err
SFC-050SA2-16B-14BC,2026-01,M5_GlobalLGBM_v2,240.0,269.8556226475233,29.85562264752332,29.85562264752332
SFC-060DA2-28B-35B,2026-01,M5_GlobalLGBM_v2,300.0,331.54374988153086,31.543749881530857,31.543749881530857
BXW-05-10-54(本体）,2026-01,M5_GlobalLGBM_v2,0.0,419.5375569212285,419.5375569212285,419.5375569212285
SPACER BOLT CF-A-030-S1-1360-G,2026-01,M5_GlobalLGBM_v2,0.0,46.47014392322595,46.47014392322595,46.47014392322595
E-CF-H-160,2026-01,M5_GlobalLGBM_v2,448.0,244.00123082019763,203.99876917980237,-203.99876917980237
BXW-03-10-112,2026-01,M5_GlobalLGBM_v2,0.0,291.0875958541251,291.0875958541251,291.0875958541251
SFC-050SA2-16B-24B,2026-01,M5_GlobalLGBM_v2,202.0,85.40954607577265,116.59045392422735,-116.59045392422735
CS-06-33G 24V 12DIN,2026-01,M5_GlobalLGBM_v2,696.0,88.41051955913531,607.5894804408647,-607.5894804408647
CF-A-008-O0-1360,2026-01,M5_GlobalLGBM_v2,300.0,140.40308505294448,159.59691494705552,-159.59691494705552
SFC-010SA2-6.35B-8B,2026-01,M5_GlobalLGBM_v2,0.0,124.9633454135034,124.9633454135034,124.9633454135034
SFC-040SA2-12B-14B,2026-01,M5_GlobalLGBM_v2,152.0,221.70924650842755,69.70924650842755,69.70924650842755
ALS-020ARN-6BHA-8BHA,2026-01,M5_GlobalLGBM_v2,397.0,42.63799455995805,354.36200544004197,-354.36200544004197
SFC-050SA2-16B-11BC,2026-01,M5_GlobalLGBM_v2,160.0,178.23999039364853,18.239990393648526,18.239990393648526
SFC-050SA2-T211,2026-01,M5_GlobalLGBM_v2,180.0,238.28290381238887,58.28290381238887,58.28290381238887
SFC-050SA2-18B-19B,2026-01,M5_GlobalLGBM_v2,370.0,178.23999039364853,191.76000960635147,-191.76000960635147
SFC-035DA2-12B-14B,2026-01,M5_GlobalLGBM_v2,7.0,115.62486658525464,108.62486658525464,108.62486658525464
SFC-030DA2-10B-14B,2026-01,M5_GlobalLGBM_v2,196.0,198.24117330060514,2.2411733006051406,2.2411733006051406
BXW-04-10-22,2026-01,M5_GlobalLGBM_v2,0.0,281.69052251971624,281.69052251971624,281.69052251971624
ALS-040ARN-T014,2026-01,M5_GlobalLGBM_v2,355.0,171.90965091285446,183.09034908714554,-183.09034908714554
BXR-035-10LE-062,2026-01,M5_GlobalLGBM_v2,479.0,55.84092230897741,423.1590776910226,-423.1590776910226
SPACER BOLT CF-A-090-S1-1360-G,2026-01,M5_GlobalLGBM_v2,0.0,71.60079676745971,71.60079676745971,71.60079676745971
SFC-060DA2-25B-35B,2026-01,M5_GlobalLGBM_v2,200.0,127.26271240520637,72.73728759479363,-72.73728759479363
SFC-050SA2-12B-16B,2026-01,M5_GlobalLGBM_v2,0.0,268.17333063414986,268.17333063414986,268.17333063414986
SFC-040DA2-17B-19B,2026-01,M5_GlobalLGBM_v2,206.0,115.62486658525464,90.37513341474536,-90.37513341474536
ALS-040ARN-15BHA-16BHA,2026-01,M5_GlobalLGBM_v2,231.0,178.23999039364853,52.760009606351474,-52.760009606351474
SFC-060DA2-24B-25B,2026-01,M5_GlobalLGBM_v2,402.0,174.50576169650836,227.49423830349164,-227.49423830349164
SFC-040DA2-12B-19B,2026-01,M5_GlobalLGBM_v2,65.0,171.90965091285446,106.90965091285446,106.90965091285446
ALS-055ARN-18BHA-22BHA,2026-01,M5_GlobalLGBM_v2,301.0,171.90965091285446,129.09034908714554,-129.09034908714554
SFC-050SA2-17B-19B,2026-01,M5_GlobalLGBM_v2,112.0,115.62486658525464,3.6248665852546367,3.6248665852546367
ALS-030ARN-8BHA-14BHA,2026-01,M5_GlobalLGBM_v2,0.0,178.23999039364853,178.23999039364853,178.23999039364853
ALS-030ABN-10BHA-14BHA,2026-01,M5_GlobalLGBM_v2,208.0,36.307655079163986,171.692344920836,-171.692344920836
ALS-055ARN-20BHA-22BHA,2026-01,M5_GlobalLGBM_v2,454.0,168.9856925451105,285.0143074548895,-285.0143074548895
CPG-030-T007A,2026-02,M5_GlobalLGBM_v2,12000.0,7313.136369683997,4686.863630316003,-4686.863630316003
CPG-030-T007B,2026-02,M5_GlobalLGBM_v2,6000.0,3468.4863172850414,2531.5136827149586,-2531.5136827149586
SFC-030SA2-10B-14B,2026-02,M5_GlobalLGBM_v2,1754.0,708.3630691390995,1045.6369308609005,-1045.6369308609005
ALS-030ARN-10BHA-14BHA,2026-02,M5_GlobalLGBM_v2,1427.0,1398.0303051424055,28.969694857594504,-28.969694857594504
ANTI-NOISE SPRING:XS-08-10-A-20,2026-02,M5_GlobalLGBM_v2,0.0,2782.770252003914,2782.770252003914,2782.770252003914
BXR-09-20-A-22,2026-02,M5_GlobalLGBM_v2,0.0,1330.9217367791339,1330.9217367791339,1330.9217367791339
CPG-030-T001A,2026-02,M5_GlobalLGBM_v2,6000.0,2403.4818102100558,3596.5181897899442,-3596.5181897899442
SFC-020SA2-7B-8B,2026-02,M5_GlobalLGBM_v2,393.0,1144.9966830700575,751.9966830700575,751.9966830700575
BXH-08-10-A-60,2026-02,M5_GlobalLGBM_v2,660.0,933.5094561594105,273.50945615941055,273.50945615941055
BXH-08-10-A-78G,2026-02,M5_GlobalLGBM_v2,0.0,661.2566436907742,661.2566436907742,661.2566436907742
E-CF-H-050,2026-02,M5_GlobalLGBM_v2,768.0,850.1941906358393,82.19419063583928,82.19419063583928
BXR-025-10LE-032,2026-02,M5_GlobalLGBM_v2,200.0,307.56086211036285,107.56086211036285,107.56086211036285
BXR-09-20-A-32,2026-02,M5_GlobalLGBM_v2,2160.0,0.0,2160.0,-2160.0
E-CF-H-110,2026-02,M5_GlobalLGBM_v2,546.0,420.1743631699772,125.8256368300228,-125.8256368300228
ALS-065ARN-28BHA-35BHA,2026-02,M5_GlobalLGBM_v2,984.0,485.8014419494266,498.1985580505734,-498.1985580505734
BXR-13-20-A-32,2026-02,M5_GlobalLGBM_v2,2970.0,477.899575561822,2492.100424438178,-2492.100424438178
SFC-050SA2-T212,2026-02,M5_GlobalLGBM_v2,1560.0,520.6483377365139,1039.351662263486,-1039.351662263486
ALS-040ARN-15BHA-19BHA,2026-02,M5_GlobalLGBM_v2,276.0,369.9035893004566,93.90358930045659,93.90358930045659
SFC-050SA2-T228,2026-02,M5_GlobalLGBM_v2,0.0,380.55814121937595,380.55814121937595,380.55814121937595
CPG-030-T005B,2026-02,M5_GlobalLGBM_v2,3000.0,0.0,3000.0,-3000.0
SFC-080DA2-28B-35B,2026-02,M5_GlobalLGBM_v2,251.0,382.8933493639119,131.8933493639119,131.8933493639119
SFC-050SA2-T229,2026-02,M5_GlobalLGBM_v2,0.0,360.5933322405339,360.5933322405339,360.5933322405339
ALS-065ARN-25BHA-35BHA,2026-02,M5_GlobalLGBM_v2,201.0,516.1128429998512,315.1128429998512,315.1128429998512
SFC-050SA2-16B-14BC,2026-02,M5_GlobalLGBM_v2,480.0,312.0654975604976,167.9345024395024,-167.9345024395024
SFC-060DA2-28B-35B,2026-02,M5_GlobalLGBM_v2,0.0,432.78266999955605,432.78266999955605,432.78266999955605
BXW-05-10-54(本体）,2026-02,M5_GlobalLGBM_v2,0.0,349.8983936047984,349.8983936047984,349.8983936047984
SPACER BOLT CF-A-030-S1-1360-G,2026-02,M5_GlobalLGBM_v2,0.0,563.6841902404292,563.6841902404292,563.6841902404292
E-CF-H-160,2026-02,M5_GlobalLGBM_v2,0.0,385.8736739300462,385.8736739300462,385.8736739300462
BXW-03-10-112,2026-02,M5_GlobalLGBM_v2,600.0,421.1712366817801,178.8287633182199,-178.8287633182199
SFC-050SA2-16B-24B,2026-02,M5_GlobalLGBM_v2,325.0,195.85182044496702,129.14817955503298,-129.14817955503298
CS-06-33G 24V 12DIN,2026-02,M5_GlobalLGBM_v2,0.0,242.06290033864144,242.06290033864144,242.06290033864144
CF-A-008-O0-1360,2026-02,M5_GlobalLGBM_v2,300.0,245.14319493880254,54.85680506119746,-54.85680506119746
SFC-010SA2-6.35B-8B,2026-02,M5_GlobalLGBM_v2,350.0,123.21846754789385,226.78153245210615,-226.78153245210615
SFC-040SA2-12B-14B,2026-02,M5_GlobalLGBM_v2,22.0,293.11782831549925,271.11782831549925,271.11782831549925
